"LAPORAN DATA STATISTIK KEPENDUDUKAN MENURUT JUMLAH DAN PERSENTASE PENDUDUK BERDASARKAN AKTIVITAS ATAU JENIS PEKERJAANNYA DI KALURAHAN PONDOKREJO, 2026";;;;
;;;;
;;;;
;;;;
No;;Jumlah;Laki-laki;Perempuan
1;BELUM/TIDAK BEKERJA;1321;656;663
2;MENGURUS RUMAH TANGGA;973;2;970
3;PELAJAR/MAHASISWA;1195;631;563
4;PENSIUNAN;64;52;12
5;PEGAWAI NEGERI SIPIL (PNS);117;60;57
6;TENTARA NASIONAL INDONESIA (TNI);15;15;0
7;KEPOLISIAN RI (POLRI);22;21;1
8;PERDAGANGAN;0;0;0
9;PETANI/PEKEBUN;33;10;23
10;PETERNAK;3;2;1
11;NELAYAN/PERIKANAN;0;0;0
12;INDUSTRI;1;1;0
13;KONSTRUKSI;1;0;1
14;TRANSPORTASI;0;0;0
15;KARYAWAN SWASTA;650;393;253
16;KARYAWAN BUMN;7;5;2
17;KARYAWAN BUMD;0;0;0
18;KARYAWAN HONORER;35;17;18
19;BURUH HARIAN LEPAS;718;579;138
20;BURUH TANI/PERKEBUNAN;563;302;258
21;BURUH NELAYAN/PERIKANAN;0;0;0
22;BURUH PETERNAKAN;0;0;0
23;PEMBANTU RUMAH TANGGA;0;0;0
24;TUKANG CUKUR;0;0;0
25;TUKANG LISTRIK;1;1;0
26;TUKANG BATU;17;17;0
27;TUKANG KAYU;16;16;0
28;TUKANG SOL SEPATU;1;1;0
29;TUKANG LAS/PANDAI BESI;2;2;0
30;TUKANG JAHIT;9;2;7
31;TUKANG GIGI;0;0;0
32;PENATA RIAS;1;0;1
33;PENATA BUSANA;0;0;0
34;PENATA RAMBUT;0;0;0
35;MEKANIK;6;5;1
36;SENIMAN;2;2;0
37;TABIB;0;0;0
38;PARAJI;0;0;0
39;PERANCANG BUSANA;0;0;0
40;PENTERJEMAH;0;0;0
41;IMAM MASJID;0;0;0
42;PENDETA;0;0;0
43;PASTOR;0;0;0
44;WARTAWAN;0;0;0
45;USTADZ/MUBALIGH;0;0;0
46;JURU MASAK;0;0;0
47;PROMOTOR ACARA;0;0;0
48;ANGGOTA DPR-RI;0;0;0
49;ANGGOTA DPD;0;0;0
50;ANGGOTA BPK;0;0;0
51;PRESIDEN;0;0;0
52;WAKIL PRESIDEN;0;0;0
53;ANGGOTA MAHKAMAH KONSTITUSI;0;0;0
54;ANGGOTA KABINET KEMENTERIAN;0;0;0
55;DUTA BESAR;0;0;0
56;GUBERNUR;0;0;0
57;WAKIL GUBERNUR;0;0;0
58;BUPATI;0;0;0
59;WAKIL BUPATI;0;0;0
60;WALIKOTA;0;0;0
61;WAKIL WALIKOTA;0;0;0
62;ANGGOTA DPRD PROVINSI;0;0;0
63;ANGGOTA DPRD KABUPATEN/KOTA;0;0;0
64;DOSEN;6;5;1
65;GURU;50;13;37
66;PILOT;0;0;0
67;PENGACARA;0;0;0
68;NOTARIS;0;0;0
69;ARSITEK;0;0;0
70;AKUNTAN;0;0;0
71;KONSULTAN;0;0;0
72;DOKTER;2;0;2
73;BIDAN;9;0;9
74;PERAWAT;9;2;7
75;APOTEKER;0;0;0
76;PSIKIATER/PSIKOLOG;0;0;0
77;PENYIAR TELEVISI;0;0;0
78;PENYIAR RADIO;0;0;0
79;PELAUT;0;0;0
80;PENELITI;0;0;0
81;SOPIR;47;47;0
82;PIALANG;0;0;0
83;PARANORMAL;0;0;0
84;PEDAGANG;109;35;74
85;PERANGKAT DESA;17;14;3
86;KEPALA DESA;1;1;0
87;BIARAWATI;0;0;0
88;WIRASWASTA;275;199;76
89;LAINNYA;23;15;8
;JUMLAH;6321;3123;3186
;BELUM MENGISI;2;0;0
;TOTAL;6323;3123;3186
;;;;
